BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace,amat,log2_L1_SIZE,log2_BLOCKSIZE,is_fa,assoc_label
32,64,2048,0.0886,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,9.86,11.0,5.0,True,FA
64,4,4096,0.0619,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,7.1899999999999995,12.0,6.0,False,4
32,1024,32768,0.0262,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.62,15.0,5.0,True,FA
16,4,4096,0.0755,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,8.55,12.0,4.0,False,4
32,2,8192,0.0473,8,16384,0.5714,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.081122000000001,13.0,5.0,False,2
16,1,1024,1.0,0,0,0.0,4,3,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_buffers,stream.trace.txt,101.0,10.0,4.0,False,1
32,2,131072,0.0259,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.59,17.0,5.0,False,2
16,4,1024,0.1473,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,15.729999999999999,10.0,4.0,False,4
32,8,8192,0.0395,8,16384,0.6697,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,3.961315,13.0,5.0,False,8
32,8,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,18.0,5.0,False,8
32,8,8192,0.0395,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,4.95,13.0,5.0,False,8
32,4,16384,0.0283,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.83,14.0,5.0,False,4
128,4,2048,0.1334,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,14.34,11.0,7.0,False,4
32,2,2048,0.1071,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,11.71,11.0,5.0,False,2
32,32,1024,0.137,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,14.700000000000001,10.0,5.0,True,FA
32,4,4096,0.0599,8,16384,0.4598,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.233402,12.0,5.0,False,4
32,4,4096,0.0599,8,65536,0.4326,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.070474,12.0,5.0,False,4
16,1,1024,1.0,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_disabled,stream.trace.txt,101.0,10.0,4.0,False,1
32,1,4096,0.1002,8,16384,0.2763,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.570125999999999,12.0,5.0,False,1
32,1,65536,0.0329,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,4.29,16.0,5.0,False,1
32,4,4096,0.0599,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,6.99,12.0,5.0,False,4
32,2048,65536,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,16.0,5.0,True,FA
32,1,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,20.0,5.0,False,1
32,4,1024,0.1427,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,15.27,10.0,5.0,False,4
32,4,4096,0.0599,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,6.99,12.0,5.0,False,4
16,1,1024,1.0,0,0,0.0,4,1,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_buffers,stream.trace.txt,101.0,10.0,4.0,False,1
32,4,4096,0.0599,8,16384,0.4598,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.233402,12.0,5.0,False,4
32,2,32768,0.0288,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.88,15.0,5.0,False,2
32,4,1024,0.1427,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,15.27,10.0,5.0,False,4
32,4,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,19.0,5.0,False,4
64,4,2048,0.1033,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,11.33,11.0,6.0,False,4
32,8,4096,0.0537,8,16384,0.5131,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.184947,12.0,5.0,False,8
32,8,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,19.0,5.0,False,8
32,8,4096,0.0537,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,6.37,12.0,5.0,False,8
32,8,1024,0.1363,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,14.63,10.0,5.0,False,8
16,4,32768,0.0475,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,5.75,15.0,4.0,False,4
16,1,1024,1.0,0,0,0.0,4,4,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_buffers,stream.trace.txt,101.0,10.0,4.0,False,1
16,4,8192,0.0595,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,6.949999999999999,13.0,4.0,False,4
32,4,16384,0.0283,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,3.83,14.0,5.0,False,4
32,4,1024,0.1427,8,32768,0.184,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.7672799999999995,10.0,5.0,False,4
32,16384,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,19.0,5.0,True,FA
32,2,4096,0.0753,8,16384,0.3688,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.3794640000000005,12.0,5.0,False,2
32,4,2048,0.0962,8,32768,0.2728,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.393936,11.0,5.0,False,4
32,1,131072,0.0323,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,4.23,17.0,5.0,False,1
32,512,16384,0.0263,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.63,14.0,5.0,True,FA
32,2,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,20.0,5.0,False,2
32,4,8192,0.0425,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,5.25,13.0,5.0,False,4
32,8,16384,0.0277,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.77,14.0,5.0,False,8
64,4,32768,0.0156,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,2.5599999999999996,15.0,6.0,False,4
32,4,8192,0.0425,8,16384,0.6461,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.085925,13.0,5.0,False,4
32,1,32768,0.0377,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,4.77,15.0,5.0,False,1
32,4,8192,0.0425,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,5.25,13.0,5.0,False,4
32,8192,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,18.0,5.0,True,FA
32,4,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,18.0,5.0,False,4
128,4,32768,0.0111,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,2.1100000000000003,15.0,7.0,False,4
32,1,2048,0.1477,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,15.77,11.0,5.0,False,1
32,4,8192,0.0425,8,16384,0.6461,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.085925,13.0,5.0,False,4
32,4,8192,0.0425,8,65536,0.6105,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,3.9346250000000005,13.0,5.0,False,4
32,32768,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,20.0,5.0,True,FA
32,2,65536,0.0271,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.71,16.0,5.0,False,2
32,1,8192,0.067,8,16384,0.3967,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.19389,13.0,5.0,False,1
32,128,4096,0.0495,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,5.95,12.0,5.0,True,FA
32,4096,131072,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,17.0,5.0,True,FA
32,4,2048,0.0962,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,10.62,11.0,5.0,False,4
32,4,2048,0.0962,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,10.62,11.0,5.0,False,4
32,2,1024,0.156,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,16.6,10.0,5.0,False,2
16,1,1024,1.0,0,0,0.0,4,2,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_buffers,stream.trace.txt,101.0,10.0,4.0,False,1
32,4,8192,0.0425,8,32768,0.6181,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,3.9669250000000003,13.0,5.0,False,4
32,2,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,19.0,5.0,False,2
32,1,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,18.0,5.0,False,1
32,4,32768,0.0264,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.64,15.0,5.0,False,4
32,2,4096,0.0753,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,8.530000000000001,12.0,5.0,False,2
32,1,8192,0.067,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,7.7,13.0,5.0,False,1
32,4,1024,0.1427,8,16384,0.1941,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.911407,10.0,5.0,False,4
128,4,4096,0.083,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,9.3,12.0,7.0,False,4
32,4,2048,0.0962,8,16384,0.2879,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.539198,11.0,5.0,False,4
32,8,65536,0.0259,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.59,16.0,5.0,False,8
128,4,1024,0.2036,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,21.36,10.0,7.0,False,4
32,4,131072,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,17.0,5.0,False,4
64,4,8192,0.0386,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,4.86,13.0,6.0,False,4
32,1,1024,1.0,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0.0,stream_prefetch_blk32,stream.trace.txt,101.0,10.0,5.0,False,1
32,1,2048,0.1477,8,16384,0.1878,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.955406,11.0,5.0,False,1
32,1,1024,0.1935,8,16384,0.1434,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,5.32279,10.0,5.0,False,1
32,4,2048,0.0962,8,16384,0.2879,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.539198,11.0,5.0,False,4
32,4,2048,0.0962,8,65536,0.2691,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.3583419999999995,11.0,5.0,False,4
32,8,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,3.58,20.0,5.0,False,8
32,4,1024,0.1427,8,16384,0.1941,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph3_l2,gcc.trace.txt,4.911407,10.0,5.0,False,4
16,4,2048,0.1062,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph4_blocksize,gcc.trace.txt,11.620000000000001,11.0,4.0,False,4
32,4,1024,0.1427,8,65536,0.1814,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph5_l2size,gcc.trace.txt,4.730178,10.0,5.0,False,4
32,2,16384,0.0338,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0.0,graph1_size_assoc,gcc.trace.txt,4.38,14.0,5.0,False,2
