BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace
32,2,32,,8,512,,2,1,,,,gcc.trace.txt
16,1,32,,2,0,,1,2,,,,gcc.trace.txt
16,1,64,0.4967,1,512,0.4942,0,2,,0,,gcc.trace.txt
16,2,64,,2,0,,2,0,,,,gcc.trace.txt
32,4,8,,4,512,,1,0,,,,gcc.trace.txt
32,2,32,,8,0,,0,0,,,,gcc.trace.txt
16,4,8,,1,128,,1,1,,,,gcc.trace.txt
16,2,16,,4,0,,0,1,,,,gcc.trace.txt
16,4,32,,8,256,,2,1,,,,gcc.trace.txt
32,8,32,,1,512,,2,2,,,,gcc.trace.txt
16,8,16,,2,256,,0,0,,,,gcc.trace.txt
16,2,32,,4,0,,0,2,,,,gcc.trace.txt
32,1,64,0.5338,1,512,0.4971,0,2,,0,,gcc.trace.txt
32,4,32,,8,0,,1,2,,,,gcc.trace.txt
16,8,2048,0.0969,4,131072,0.4866,0,0,,0,,gcc.trace.txt
16,2,8,,2,512,,2,0,,,,gcc.trace.txt
32,4,16,,8,0,,1,1,,,,gcc.trace.txt
16,4,64,0.4645,4,128,0.7537,0,1,,0,,gcc.trace.txt
16,8,8,,1,0,,1,0,,,,gcc.trace.txt
16,8,32,,1,512,,2,2,,,,gcc.trace.txt
32,4,32,,8,256,,2,1,,,,gcc.trace.txt
64,8,8192,0.0316,4,131072,0.4593,0,0,,0,,gcc.trace.txt
16,4,32,,4,0,,1,0,,,,gcc.trace.txt
16,1,8,,4,512,,1,2,,,,gcc.trace.txt
32,8,16,,2,256,,0,0,,,,gcc.trace.txt
32,8,32,,2,0,,0,0,,,,gcc.trace.txt
32,1,8,,4,512,,0,1,,,,gcc.trace.txt
16,1,8,,1,128,,0,0,,,,gcc.trace.txt
32,2,8,,4,256,,1,0,,,,gcc.trace.txt
16,8,64,,8,0,,2,0,,,,gcc.trace.txt
32,2,64,0.5039,2,128,0.8165,2,2,,0,,gcc.trace.txt
32,1,8,,2,256,,2,2,,,,gcc.trace.txt
32,1,64,0.5338,4,128,0.7476,1,0,,0,,gcc.trace.txt
32,2,8,,1,0,,1,1,,,,gcc.trace.txt
16,2,32,0.5666,8,512,0.343,2,1,,0,,gcc.trace.txt
16,8,8,,2,256,,2,2,,,,gcc.trace.txt
16,1,32768,0.0591,8,262144,0.7969,0,0,,0,,gcc.trace.txt
16,2,8,,8,128,,1,0,,,,gcc.trace.txt
32,2,16,,4,256,,2,1,,,,gcc.trace.txt
16,4,8,,4,0,,2,0,,,,gcc.trace.txt
16,4,64,0.4645,8,256,0.5548,1,2,,0,,gcc.trace.txt
64,8,2048,0.0996,2,524288,0.1458,0,0,,0,,gcc.trace.txt
16,8,32,,1,0,,2,0,,,,gcc.trace.txt
32,4,1048576,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
16,8,8,,4,512,,0,1,,,,gcc.trace.txt
16,2,32,0.5666,1,256,0.5278,2,0,,0,,gcc.trace.txt
16,8,8192,0.0587,2,524288,0.8028,0,0,,0,,gcc.trace.txt
32,8,8,,1,128,,0,0,,,,gcc.trace.txt
32,2,16,,2,512,,0,2,,,,gcc.trace.txt
16,1,32768,0.0591,2,131072,0.7979,0,0,,0,,gcc.trace.txt
16,4,16,,4,512,,2,1,,,,gcc.trace.txt
32,8,8,,4,512,,1,2,,,,gcc.trace.txt
32,1,16,,1,128,,2,2,,,,gcc.trace.txt
16,2,32,0.5666,2,128,0.6525,1,1,,0,,gcc.trace.txt
16,4,16,,2,256,,0,2,,,,gcc.trace.txt
32,4,32,,1,512,,2,0,,,,gcc.trace.txt
16,4,16,,2,256,,1,2,,,,gcc.trace.txt
16,2,32,0.5666,2,128,0.6525,0,1,,0,,gcc.trace.txt
32,1,524288,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,8,8,,2,256,,2,1,,,,gcc.trace.txt
32,8,8,,4,512,,0,2,,,,gcc.trace.txt
16,8,8,,4,512,,1,1,,,,gcc.trace.txt
16,2,16384,0.0525,2,131072,0.8987,0,0,,0,,gcc.trace.txt
32,8,8,,1,128,,1,0,,,,gcc.trace.txt
32,2,16,,2,512,,1,2,,,,gcc.trace.txt
16,4,32768,0.0475,8,524288,0.9914,0,0,,0,,gcc.trace.txt
32,8,8192,0.0395,8,262144,0.653,0,0,,0,,gcc.trace.txt
16,1,32,0.5884,1,512,0.4171,2,1,,0,,gcc.trace.txt
