BLOCKSIZE,L1_ASSOC,L1_SIZE,L1_miss_rate,L2_ASSOC,L2_SIZE,L2_miss_rate,PREF_M,PREF_N,TRACE,prefetches,sweep,trace
16,4,64,0.4645,2,128,0.7709,2,0,,0,,gcc.trace.txt
16,2,8,,2,256,,2,2,,,,gcc.trace.txt
32,8,16,,4,0,,2,2,,,,gcc.trace.txt
32,1,8,,2,512,,2,0,,,,gcc.trace.txt
32,8,32,,4,0,,2,1,,,,gcc.trace.txt
16,8,32,,2,128,,1,1,,,,gcc.trace.txt
16,8,16,,8,0,,2,0,,,,gcc.trace.txt
32,2,8,,4,512,,1,2,,,,gcc.trace.txt
16,4,64,0.4645,1,256,0.6257,1,1,,0,,gcc.trace.txt
16,4,8,,2,0,,0,1,,,,gcc.trace.txt
32,2,16,,2,256,,0,0,,,,gcc.trace.txt
32,2,8,,8,0,,1,2,,,,gcc.trace.txt
16,2,32,0.5666,1,512,0.4294,2,2,,0,,gcc.trace.txt
32,1,16,,2,512,,1,1,,,,gcc.trace.txt
16,4,1024,0.1473,0,0,0.0,0,0,,0,,gcc.trace.txt
16,4,64,0.4645,8,512,0.418,1,0,,0,,gcc.trace.txt
16,8,8,,2,512,,2,0,,,,gcc.trace.txt
16,8,32,,8,512,,2,1,,,,gcc.trace.txt
32,4,32,,1,256,,2,2,,,,gcc.trace.txt
32,1,8,,8,128,,1,0,,,,gcc.trace.txt
16,1,32,0.5884,2,128,0.6289,0,2,,0,,gcc.trace.txt
64,1,16384,0.0393,4,262144,0.3694,0,0,,0,,gcc.trace.txt
16,4,16,,2,512,,0,0,,,,gcc.trace.txt
32,4,32,,1,0,,1,1,,,,gcc.trace.txt
32,1,64,0.5338,8,512,0.3585,0,1,,0,,gcc.trace.txt
32,8,8,,4,256,,1,0,,,,gcc.trace.txt
32,4,16,,1,0,,1,2,,,,gcc.trace.txt
16,4,32,,1,256,,2,2,,,,gcc.trace.txt
32,8,32,,8,512,,2,1,,,,gcc.trace.txt
32,1,32,0.6165,2,128,0.6706,0,2,,0,,gcc.trace.txt
32,4,16,,2,512,,0,0,,,,gcc.trace.txt
32,8,8,,2,0,,1,2,,,,gcc.trace.txt
16,1,64,0.4967,8,512,0.3915,0,1,,0,,gcc.trace.txt
16,8,64,,2,128,,2,2,,,,gcc.trace.txt
32,2,16,,1,0,,0,0,,,,gcc.trace.txt
16,2,64,0.4721,8,256,0.5456,1,0,,0,,gcc.trace.txt
16,4,8,,8,128,,1,2,,,,gcc.trace.txt
16,2,16,,2,256,,0,0,,,,gcc.trace.txt
32,4,8,,8,128,,0,1,,,,gcc.trace.txt
32,2,32,,1,512,,2,2,,,,gcc.trace.txt
16,4,16384,0.0482,2,524288,0.9772,0,0,,0,,gcc.trace.txt
16,1,16,0.6836,2,512,0.3104,1,1,,0,,gcc.trace.txt
32,4,8,,8,0,,0,0,,,,gcc.trace.txt
16,2,32768,0.0495,8,131072,0.9515,0,0,,0,,gcc.trace.txt
32,4,1024,0.1427,0,0,0.0,0,0,,0,,gcc.trace.txt
16,2,32768,0.0495,2,262144,0.9522,0,0,,0,,gcc.trace.txt
16,4,8,,4,256,,0,1,,,,gcc.trace.txt
32,8,32,,2,128,,1,1,,,,gcc.trace.txt
16,1,64,,2,0,,1,1,,,,gcc.trace.txt
16,4,8,,2,512,,2,2,,,,gcc.trace.txt
16,8,64,,8,512,,1,2,,,,gcc.trace.txt
16,1,16,0.6836,8,128,0.5052,2,1,,0,,gcc.trace.txt
16,8,16,,2,512,,0,2,,,,gcc.trace.txt
16,2,64,,4,0,,0,1,,,,gcc.trace.txt
32,8,32,,1,256,,2,0,,,,gcc.trace.txt
16,2,64,0.4721,1,512,0.5111,1,1,,0,,gcc.trace.txt
32,8,4096,0.0537,8,524288,0.4813,0,0,,0,,gcc.trace.txt
16,8,16,,4,256,,2,1,,,,gcc.trace.txt
16,1,64,0.4967,1,256,0.6092,0,0,,0,,gcc.trace.txt
16,2,16,,2,0,,2,0,,,,gcc.trace.txt
32,4,8,,4,256,,1,2,,,,gcc.trace.txt
32,2,64,0.5039,2,256,0.6074,2,1,,0,,gcc.trace.txt
16,4,64,,1,0,,0,0,,,,gcc.trace.txt
16,2,8,,1,512,,1,2,,,,gcc.trace.txt
16,8,8,,2,0,,2,2,,,,gcc.trace.txt
32,8,8,,8,512,,0,2,,,,gcc.trace.txt
16,8,32,,2,512,,1,0,,,,gcc.trace.txt
32,1,8,,2,128,,2,1,,,,gcc.trace.txt
16,8,8,,8,512,,1,1,,,,gcc.trace.txt
32,2,64,0.5039,1,128,0.8132,1,0,,0,,gcc.trace.txt
16,4,32768,0.0475,4,524288,0.9914,0,0,,0,,gcc.trace.txt
32,8,8192,0.0395,4,262144,0.653,0,0,,0,,gcc.trace.txt
16,4,64,0.4645,2,512,0.456,2,1,,0,,gcc.trace.txt
32,2,8,,1,512,,0,1,,,,gcc.trace.txt
32,1,16,,8,512,,2,0,,,,gcc.trace.txt
32,1,8,,1,256,,1,0,,,,gcc.trace.txt
16,2,16384,0.0525,4,262144,0.8972,0,0,,0,,gcc.trace.txt
32,4,32,,8,128,,2,2,,,,gcc.trace.txt
16,2,8,,4,128,,0,0,,,,gcc.trace.txt
16,4,64,0.4645,4,256,0.5669,0,2,,0,,gcc.trace.txt
16,1,32,0.5884,4,256,0.4465,2,0,,0,,gcc.trace.txt
32,1,64,,8,128,,0,0,,,,gcc.trace.txt
16,8,32,,2,0,,1,2,,,,gcc.trace.txt
16,8,16,,2,0,,1,1,,,,gcc.trace.txt
16,8,8,,1,256,,1,0,,,,gcc.trace.txt
32,1,8,,8,512,,1,1,,,,gcc.trace.txt
16,8,32,,8,128,,2,0,,,,gcc.trace.txt
16,4,16,,2,128,,0,1,,,,gcc.trace.txt
32,2,8,,8,256,,0,0,,,,gcc.trace.txt
16,2,32,0.5666,2,256,0.5002,1,2,,0,,gcc.trace.txt
32,1,16,,1,256,,2,1,,,,gcc.trace.txt
16,4,64,0.4645,8,128,0.7483,1,1,,0,,gcc.trace.txt
16,4,32,,8,0,,0,0,,,,gcc.trace.txt
32,8,2048,0.0907,8,524288,0.2847,0,0,,0,,gcc.trace.txt
32,2,16,,4,128,,2,2,,,,gcc.trace.txt
16,8,8,,2,128,,2,1,,,,gcc.trace.txt
16,1,8,,8,512,,0,2,,,,gcc.trace.txt
32,4,32,,4,0,,0,2,,,,gcc.trace.txt
32,4,32,,2,512,,1,2,,,,gcc.trace.txt
32,4,16,,4,0,,0,1,,,,gcc.trace.txt
32,1,16,,2,128,,1,0,,,,gcc.trace.txt
16,2,16,,8,0,,1,1,,,,gcc.trace.txt
32,8,1024,0.1363,8,262144,0.1895,0,0,,0,,gcc.trace.txt
16,2,16,,4,128,,2,2,,,,gcc.trace.txt
16,2,32,,8,0,,1,2,,,,gcc.trace.txt
16,1,8,,1,0,,1,0,,,,gcc.trace.txt
32,8,1024,0.1363,2,131072,0.1901,0,0,,0,,gcc.trace.txt
32,4,8,,8,512,,0,0,,,,gcc.trace.txt
16,4,32,,2,512,,1,2,,,,gcc.trace.txt
32,2,32,,4,0,,1,0,,,,gcc.trace.txt
16,1,1024,1.0,0,0,0.0,4,3,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/stream_trace.txt,0,stream_prefetch_buffers,stream.trace.txt
16,1,16,0.6836,2,128,0.5413,1,0,,0,,gcc.trace.txt
32,1,32,0.6165,4,256,0.4631,2,0,,0,,gcc.trace.txt
32,1,64,,4,0,,2,2,,,,gcc.trace.txt
16,1,64,0.4967,8,128,0.6851,0,0,,0,,gcc.trace.txt
32,8,32,,8,128,,2,0,,,,gcc.trace.txt
16,1,64,,8,0,,2,0,,,,gcc.trace.txt
16,8,64,,4,256,,0,0,,,,gcc.trace.txt
32,2,32,,2,256,,1,2,,,,gcc.trace.txt
32,4,16,,2,128,,0,1,,,,gcc.trace.txt
16,1,16,0.6836,1,256,0.4426,2,1,,0,,gcc.trace.txt
32,1,32,,2,0,,0,0,,,,gcc.trace.txt
32,2,131072,0.0259,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
16,4,8,,1,256,,1,2,,,,gcc.trace.txt
16,2,64,0.4721,1,128,0.7915,1,0,,0,,gcc.trace.txt
16,1,32,,1,0,,2,0,,,,gcc.trace.txt
16,2,8,,8,0,,2,2,,,,gcc.trace.txt
16,1,16,0.6836,8,512,0.2845,2,0,,0,,gcc.trace.txt
16,4,32,,8,128,,2,2,,,,gcc.trace.txt
16,4,1024,0.1473,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph4_blocksize,gcc.trace.txt
16,2,64,0.4721,2,256,0.5958,2,1,,0,,gcc.trace.txt
64,1,32768,0.0298,2,262144,0.4884,0,0,,0,,gcc.trace.txt
16,2,64,,1,0,,1,2,,,,gcc.trace.txt
16,2,64,0.4721,4,512,0.4183,0,2,,0,,gcc.trace.txt
32,4,8,,1,256,,0,1,,,,gcc.trace.txt
32,8,32,,2,512,,1,0,,,,gcc.trace.txt
64,1,32768,0.0298,8,131072,0.4877,0,0,,0,,gcc.trace.txt
16,1,64,0.4967,2,512,0.4272,1,0,,0,,gcc.trace.txt
16,2,64,0.4721,2,256,0.5958,0,1,,0,,gcc.trace.txt
32,4,8,,1,256,,2,1,,,,gcc.trace.txt
32,4,16,,8,512,,1,1,,,,gcc.trace.txt
16,8,16,,1,256,,1,2,,,,gcc.trace.txt
16,2,64,0.4721,4,512,0.4183,2,2,,0,,gcc.trace.txt
64,8,4096,0.0599,4,262144,0.2424,0,0,,0,,gcc.trace.txt
32,4,1024,0.1427,8,16384,0.1941,0,0,,0,,gcc.trace.txt
16,1,16384,0.0672,8,524288,0.7017,0,0,,0,,gcc.trace.txt
16,2,16,,8,256,,1,1,,,,gcc.trace.txt
32,4,8,,2,128,,1,0,,,,gcc.trace.txt
16,4,32,,8,128,,0,2,,,,gcc.trace.txt
32,4,8,,2,0,,1,1,,,,gcc.trace.txt
16,1,16,0.6836,8,512,0.2845,0,0,,0,,gcc.trace.txt
16,2,8,,8,0,,0,2,,,,gcc.trace.txt
16,1,32,,1,0,,0,0,,,,gcc.trace.txt
32,2,32,,4,512,,1,1,,,,gcc.trace.txt
16,1,64,0.4967,8,128,0.6851,2,0,,0,,gcc.trace.txt
32,8,8192,0.0395,8,16384,0.6697,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph3_l2,gcc.trace.txt
32,1,64,,4,0,,0,2,,,,gcc.trace.txt
32,1,32,0.6165,4,256,0.4631,0,0,,0,,gcc.trace.txt
32,4,8192,0.0425,8,16384,0.6461,0,0,,0,,gcc.trace.txt
32,1,32,,2,0,,2,0,,,,gcc.trace.txt
16,1,16,0.6836,1,256,0.4426,0,1,,0,,gcc.trace.txt
32,4,16,,2,128,,2,1,,,,gcc.trace.txt
16,8,64,,4,256,,2,0,,,,gcc.trace.txt
16,1,64,,8,0,,0,0,,,,gcc.trace.txt
32,8,32,,8,128,,0,0,,,,gcc.trace.txt
16,2,16,,1,512,,1,0,,,,gcc.trace.txt
16,2,16,,4,128,,0,2,,,,gcc.trace.txt
16,4,32,,4,256,,1,1,,,,gcc.trace.txt
32,2,64,,2,0,,1,2,,,,gcc.trace.txt
32,4,16,,1,256,,1,0,,,,gcc.trace.txt
32,4,8,,8,512,,2,0,,,,gcc.trace.txt
16,8,4096,0.0727,8,524288,0.6478,0,0,,0,,gcc.trace.txt
16,1,8,,8,512,,2,2,,,,gcc.trace.txt
16,8,8,,2,128,,0,1,,,,gcc.trace.txt
32,4,32,,4,256,,1,1,,,,gcc.trace.txt
32,2,16,,4,128,,0,2,,,,gcc.trace.txt
16,4,32,,8,0,,2,0,,,,gcc.trace.txt
16,4,16,,1,256,,1,0,,,,gcc.trace.txt
32,4,16,,4,0,,2,1,,,,gcc.trace.txt
32,4,32,,4,0,,2,2,,,,gcc.trace.txt
16,2,32,0.5666,4,512,0.3493,1,1,,0,,gcc.trace.txt
32,1,64,,8,128,,2,0,,,,gcc.trace.txt
16,1,32,0.5884,4,256,0.4465,0,0,,0,,gcc.trace.txt
16,8,64,,4,0,,1,0,,,,gcc.trace.txt
32,1,16,,1,256,,0,1,,,,gcc.trace.txt
16,4,16,,2,128,,2,1,,,,gcc.trace.txt
32,2,8,,8,256,,2,0,,,,gcc.trace.txt
32,8,262144,0.0258,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,8,16384,0.0277,4,524288,0.9308,0,0,,0,,gcc.trace.txt
32,8,8,,2,128,,1,2,,,,gcc.trace.txt
16,8,32,,8,128,,0,0,,,,gcc.trace.txt
32,2,16,,1,512,,1,0,,,,gcc.trace.txt
16,4,64,0.4645,2,512,0.456,0,1,,0,,gcc.trace.txt
32,8,32,,1,0,,1,2,,,,gcc.trace.txt
32,8,16,,1,0,,1,1,,,,gcc.trace.txt
16,1,8,,2,128,,1,2,,,,gcc.trace.txt
16,4,64,0.4645,4,256,0.5669,2,2,,0,,gcc.trace.txt
32,4,32,,8,128,,0,2,,,,gcc.trace.txt
32,2,16,,8,256,,1,1,,,,gcc.trace.txt
16,2,8,,4,128,,2,0,,,,gcc.trace.txt
16,4,8,,8,0,,1,0,,,,gcc.trace.txt
32,1,16,,8,512,,0,0,,,,gcc.trace.txt
32,2,8,,1,512,,2,1,,,,gcc.trace.txt
64,4,16384,0.0204,4,131072,0.71,0,0,,0,,gcc.trace.txt
32,1,64,0.5338,2,512,0.4129,1,0,,0,,gcc.trace.txt
16,4,64,,1,0,,2,0,,,,gcc.trace.txt
32,2,64,0.5039,2,256,0.6074,0,1,,0,,gcc.trace.txt
32,1,8,,2,128,,0,1,,,,gcc.trace.txt
32,8,8,,8,512,,2,2,,,,gcc.trace.txt
16,8,8,,2,0,,0,2,,,,gcc.trace.txt
32,8,16,,1,256,,1,2,,,,gcc.trace.txt
16,4,16,,8,512,,1,1,,,,gcc.trace.txt
16,2,64,,4,0,,2,1,,,,gcc.trace.txt
32,4,8,,2,512,,1,1,,,,gcc.trace.txt
32,8,32,,1,256,,0,0,,,,gcc.trace.txt
16,8,16,,2,512,,2,2,,,,gcc.trace.txt
16,1,16,0.6836,8,128,0.5052,0,1,,0,,gcc.trace.txt
16,8,1024,0.1401,8,262144,0.3365,0,0,,0,,gcc.trace.txt
16,2,16,,2,0,,0,0,,,,gcc.trace.txt
16,1,64,0.4967,1,256,0.6092,2,0,,0,,gcc.trace.txt
16,8,16,,4,256,,0,1,,,,gcc.trace.txt
16,8,1024,0.1401,2,131072,0.3369,0,0,,0,,gcc.trace.txt
32,1,16,,8,0,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,8,512,0.3103,1,2,,0,,gcc.trace.txt
32,1,32,,8,0,,1,1,,,,gcc.trace.txt
16,4,8,,4,256,,2,1,,,,gcc.trace.txt
32,4,16,,8,128,,1,0,,,,gcc.trace.txt
16,1,64,0.4967,2,128,0.745,1,1,,0,,gcc.trace.txt
16,1,16,,4,0,,1,0,,,,gcc.trace.txt
32,8,32768,0.0262,2,524288,0.9836,0,0,,0,,gcc.trace.txt
16,4,8,,2,512,,0,2,,,,gcc.trace.txt
32,4,8,,8,0,,2,0,,,,gcc.trace.txt
32,2,32,,1,512,,0,2,,,,gcc.trace.txt
16,8,16,,8,128,,1,2,,,,gcc.trace.txt
32,1,64,,1,0,,1,1,,,,gcc.trace.txt
16,2,16,,2,256,,2,0,,,,gcc.trace.txt
32,4,8,,8,128,,2,1,,,,gcc.trace.txt
64,8,1024,0.1473,4,524288,0.0986,0,0,,0,,gcc.trace.txt
16,1,16,0.6836,4,256,0.3842,1,2,,0,,gcc.trace.txt
64,4,32768,0.0156,2,131072,0.9365,0,0,,0,,gcc.trace.txt
32,4,16,,2,512,,2,0,,,,gcc.trace.txt
64,2,16384,0.026,8,524288,0.5585,0,0,,0,,gcc.trace.txt
32,1,32,0.6165,2,128,0.6706,2,2,,0,,gcc.trace.txt
16,2,2048,0.1183,0,0,0.0,0,0,,0,,gcc.trace.txt
16,4,32,,1,256,,0,2,,,,gcc.trace.txt
32,8,32,,8,512,,0,1,,,,gcc.trace.txt
16,2,16,,1,128,,1,1,,,,gcc.trace.txt
32,2,32,,4,128,,1,0,,,,gcc.trace.txt
64,4,32768,0.0156,8,262144,0.932,0,0,,0,,gcc.trace.txt
32,2,16,,1,0,,2,0,,,,gcc.trace.txt
16,8,64,,2,128,,0,2,,,,gcc.trace.txt
16,1,64,0.4967,8,512,0.3915,2,1,,0,,gcc.trace.txt
16,4,16,,2,512,,2,0,,,,gcc.trace.txt
16,1,32,0.5884,2,128,0.6289,2,2,,0,,gcc.trace.txt
32,2,2048,0.1071,0,0,0.0,0,0,,0,,gcc.trace.txt
16,8,32,,8,512,,0,1,,,,gcc.trace.txt
32,2,16,,1,128,,1,1,,,,gcc.trace.txt
32,4,32,,1,256,,0,2,,,,gcc.trace.txt
16,2,32,0.5666,4,128,0.6179,1,0,,0,,gcc.trace.txt
32,1,64,0.5338,8,512,0.3585,2,1,,0,,gcc.trace.txt
16,8,8192,0.0587,4,262144,0.8028,0,0,,0,,gcc.trace.txt
16,2,32,0.5666,1,512,0.4294,0,2,,0,,gcc.trace.txt
32,8,16,,8,128,,1,2,,,,gcc.trace.txt
32,2,16,,2,256,,2,0,,,,gcc.trace.txt
16,4,8,,2,0,,2,1,,,,gcc.trace.txt
64,8,2048,0.0996,4,262144,0.1458,0,0,,0,,gcc.trace.txt
16,8,8,,2,512,,0,0,,,,gcc.trace.txt
32,8,8192,0.0395,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,1,16,,4,256,,1,2,,,,gcc.trace.txt
32,8,32,,4,0,,0,1,,,,gcc.trace.txt
32,1,8,,2,512,,0,0,,,,gcc.trace.txt
16,1,32,0.5884,8,512,0.3305,1,2,,0,,gcc.trace.txt
32,8,16,,4,0,,0,2,,,,gcc.trace.txt
16,4,16,,8,128,,1,0,,,,gcc.trace.txt
32,2,8,,2,256,,1,1,,,,gcc.trace.txt
32,1,64,0.5338,2,128,0.7745,1,1,,0,,gcc.trace.txt
16,8,32768,0.0475,0,0,0.0,0,0,,0,,gcc.trace.txt
16,8,16,,8,0,,0,0,,,,gcc.trace.txt
16,8,32,,1,256,,0,0,,,,gcc.trace.txt
16,2,8,,4,512,,2,1,,,,gcc.trace.txt
32,2,8,,1,128,,2,0,,,,gcc.trace.txt
32,8,16,,2,512,,2,2,,,,gcc.trace.txt
32,1,16,,8,128,,0,1,,,,gcc.trace.txt
16,8,2048,0.0969,8,524288,0.4866,0,0,,0,,gcc.trace.txt
16,2,8,,2,256,,0,2,,,,gcc.trace.txt
16,4,32,,2,0,,1,1,,,,gcc.trace.txt
16,4,64,0.4645,2,128,0.7709,0,0,,0,,gcc.trace.txt
32,1,8,,1,0,,0,0,,,,gcc.trace.txt
32,1,64,0.5338,1,256,0.6249,2,0,,0,,gcc.trace.txt
32,8,16,,4,256,,0,1,,,,gcc.trace.txt
16,4,16,,2,0,,1,2,,,,gcc.trace.txt
64,8,8192,0.0316,8,524288,0.4593,0,0,,0,,gcc.trace.txt
32,1,8,,1,0,,1,0,,,,gcc.trace.txt
16,4,64,0.4645,2,128,0.7709,1,0,,0,,gcc.trace.txt
16,4,32,,2,0,,0,1,,,,gcc.trace.txt
16,2,8,,2,256,,1,2,,,,gcc.trace.txt
32,8,2048,0.0907,8,131072,0.2847,0,0,,0,,gcc.trace.txt
16,4,16,,2,0,,0,2,,,,gcc.trace.txt
32,8,16,,4,256,,1,1,,,,gcc.trace.txt
16,8,8,,8,128,,2,0,,,,gcc.trace.txt
16,8,32,,1,256,,1,0,,,,gcc.trace.txt
16,1,8,,4,256,,2,0,,,,gcc.trace.txt
32,1,16,,8,128,,1,1,,,,gcc.trace.txt
32,8,2048,0.0907,2,262144,0.2849,0,0,,0,,gcc.trace.txt
16,4,64,0.4645,1,256,0.6257,2,1,,0,,gcc.trace.txt
32,1,64,0.5338,2,128,0.7745,0,1,,0,,gcc.trace.txt
16,8,16,,8,0,,1,0,,,,gcc.trace.txt
32,2,8,,4,512,,2,2,,,,gcc.trace.txt
32,1,8,,2,512,,1,0,,,,gcc.trace.txt
16,1,32,0.5884,8,512,0.3305,0,2,,0,,gcc.trace.txt
32,8,32,,4,0,,1,1,,,,gcc.trace.txt
16,8,32,,2,128,,2,1,,,,gcc.trace.txt
32,2,8,,2,256,,0,1,,,,gcc.trace.txt
16,4,16,,8,128,,0,0,,,,gcc.trace.txt
32,8,16,,4,0,,1,2,,,,gcc.trace.txt
32,1,16,,4,256,,0,2,,,,gcc.trace.txt
16,8,8,,2,512,,1,0,,,,gcc.trace.txt
16,4,32768,0.0475,4,131072,0.9914,0,0,,0,,gcc.trace.txt
16,4,64,0.4645,8,512,0.418,2,0,,0,,gcc.trace.txt
32,8,16,,8,128,,0,2,,,,gcc.trace.txt
16,2,32,0.5666,1,512,0.4294,1,2,,0,,gcc.trace.txt
32,1,16,,2,512,,2,1,,,,gcc.trace.txt
32,2,8,,8,0,,2,2,,,,gcc.trace.txt
16,2,4096,0.0875,0,0,0.0,0,0,,0,,gcc.trace.txt
16,2,32,0.5666,4,128,0.6179,0,0,,0,,gcc.trace.txt
32,4,16,,1,0,,2,2,,,,gcc.trace.txt
32,4,32,,1,0,,2,1,,,,gcc.trace.txt
32,8,8,,4,256,,2,0,,,,gcc.trace.txt
32,4,16384,0.0283,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph1_size_assoc,gcc.trace.txt
32,4,32,,1,256,,1,2,,,,gcc.trace.txt
32,2,16,,1,128,,0,1,,,,gcc.trace.txt
16,8,32,,8,512,,1,1,,,,gcc.trace.txt
32,1,8,,8,128,,2,0,,,,gcc.trace.txt
16,2,64,0.4721,8,256,0.5456,2,0,,0,,gcc.trace.txt
32,2,4096,0.0753,0,0,0.0,0,0,,0,,gcc.trace.txt
16,4,8,,8,128,,2,2,,,,gcc.trace.txt
32,2,32,,4,128,,0,0,,,,gcc.trace.txt
16,8,64,,2,128,,1,2,,,,gcc.trace.txt
64,1,32768,0.0298,8,524288,0.4877,0,0,,0,,gcc.trace.txt
32,8,8,,2,0,,2,2,,,,gcc.trace.txt
16,2,16,,1,128,,0,1,,,,gcc.trace.txt
32,8,32,,8,512,,1,1,,,,gcc.trace.txt
16,4,32,,1,256,,1,2,,,,gcc.trace.txt
16,1,16,0.6836,4,256,0.3842,0,2,,0,,gcc.trace.txt
16,8,16,,8,128,,0,2,,,,gcc.trace.txt
32,2,32,,1,512,,1,2,,,,gcc.trace.txt
16,1,16,0.6836,2,512,0.3104,2,1,,0,,gcc.trace.txt
32,1,64,,1,0,,0,1,,,,gcc.trace.txt
16,1,16,,4,0,,0,0,,,,gcc.trace.txt
16,8,64,,8,512,,2,2,,,,gcc.trace.txt
16,1,64,0.4967,2,128,0.745,0,1,,0,,gcc.trace.txt
16,4,8,,2,512,,1,2,,,,gcc.trace.txt
32,1,32,0.6165,8,512,0.3103,0,2,,0,,gcc.trace.txt
32,1,16,,8,0,,0,2,,,,gcc.trace.txt
32,8,32,,2,128,,2,1,,,,gcc.trace.txt
16,1,64,,2,0,,2,1,,,,gcc.trace.txt
32,4,16,,8,128,,0,0,,,,gcc.trace.txt
32,1,32,,8,0,,0,1,,,,gcc.trace.txt
16,2,16,,2,0,,1,0,,,,gcc.trace.txt
128,4,2048,0.1334,0,0,0.0,0,0,/Users/kaylaradu/GitHubRepos/GitNCSU/ECE492-MicroArch/traces/gcc_trace.txt,0,graph4_blocksize,gcc.trace.txt
32,4,8,,4,256,,2,2,,,,gcc.trace.txt
16,2,64,0.4721,1,512,0.5111,2,1,,0,,gcc.trace.txt
16,8,16,,4,256,,1,1,,,,gcc.trace.txt
32,8,32,,1,256,,1,0,,,,gcc.trace.txt
32,4,8,,2,512,,0,1,,,,gcc.trace.txt
16,1,16,0.6836,8,128,0.5052,1,1,,0,,gcc.trace.txt
32,8,1024,0.1363,2,524288,0.1895,0,0,,0,,gcc.trace.txt
16,8,8,,2,0,,1,2,,,,gcc.trace.txt
16,8,32,,2,512,,2,0,,,,gcc.trace.txt
32,1,8,,2,128,,1,1,,,,gcc.trace.txt
16,4,16,,8,512,,0,1,,,,gcc.trace.txt
32,8,16,,1,256,,0,2,,,,gcc.trace.txt
32,1,64,0.5338,2,512,0.4129,0,0,,0,,gcc.trace.txt
16,2,8,,1,512,,2,2,,,,gcc.trace.txt
32,2,64,0.5039,2,256,0.6074,1,1,,0,,gcc.trace.txt
32,1,8,,1,256,,2,0,,,,gcc.trace.txt
16,4,8,,8,0,,0,0,,,,gcc.trace.txt
32,2,16,,8,256,,0,1,,,,gcc.trace.txt
32,4,32,,8,128,,1,2,,,,gcc.trace.txt
32,1,16,,8,512,,1,0,,,,gcc.trace.txt
32,8,32,,1,0,,0,2,,,,gcc.trace.txt
16,4,64,0.4645,2,512,0.456,1,1,,0,,gcc.trace.txt
16,1,8,,2,128,,0,2,,,,gcc.trace.txt
16,8,8,,8,512,,2,1,,,,gcc.trace.txt
32,8,16,,1,0,,0,1,,,,gcc.trace.txt
32,2,64,0.5039,1,128,0.8132,2,0,,0,,gcc.trace.txt
16,2,32,0.5666,2,256,0.5002,2,2,,0,,gcc.trace.txt
32,1,16,,1,256,,1,1,,,,gcc.trace.txt
16,8,64,,4,0,,0,0,,,,gcc.trace.txt
32,1,8,,8,512,,2,1,,,,gcc.trace.txt
32,8,8,,2,128,,0,2,,,,gcc.trace.txt
32,2,16,,1,512,,0,0,,,,gcc.trace.txt
16,8,32,,8,128,,1,0,,,,gcc.trace.txt
16,8,16,,2,0,,2,1,,,,gcc.trace.txt
16,8,8,,1,256,,2,0,,,,gcc.trace.txt
16,2,32,0.5666,4,512,0.3493,0,1,,0,,gcc.trace.txt
16,1,32,0.5884,4,256,0.4465,1,0,,0,,gcc.trace.txt
16,8,32,,2,0,,2,2,,,,gcc.trace.txt
32,1,16,,2,128,,2,0,,,,gcc.trace.txt
16,4,16,,1,256,,0,0,,,,gcc.trace.txt
32,4,32,,2,512,,2,2,,,,gcc.trace.txt
16,8,8,,2,128,,1,1,,,,gcc.trace.txt
16,4,64,0.4645,8,128,0.7483,2,1,,0,,gcc.trace.txt
32,2,16,,4,128,,1,2,,,,gcc.trace.txt
32,4,32,,4,256,,0,1,,,,gcc.trace.txt
32,2,32,,4,0,,2,0,,,,gcc.trace.txt
16,1,16,0.6836,2,128,0.5413,2,0,,0,,gcc.trace.txt
32,4,16,,1,256,,0,0,,,,gcc.trace.txt
32,8,4096,0.0537,2,262144,0.4816,0,0,,0,,gcc.trace.txt
16,4,32,,2,512,,2,2,,,,gcc.trace.txt
16,1,8,,1,0,,2,0,,,,gcc.trace.txt
16,2,32,,8,0,,2,2,,,,gcc.trace.txt
32,2,64,,2,0,,0,2,,,,gcc.trace.txt
16,2,16,,8,0,,2,1,,,,gcc.trace.txt
32,8,4096,0.0537,8,131072,0.4813,0,0,,0,,gcc.trace.txt
16,4,32,,4,256,,0,1,,,,gcc.trace.txt
16,2,16,,4,128,,1,2,,,,gcc.trace.txt
32,2,32,,2,256,,2,2,,,,gcc.trace.txt
16,1,16,0.6836,1,256,0.4426,1,1,,0,,gcc.trace.txt
16,2,16,,1,512,,0,0,,,,gcc.trace.txt
